Administrative_Credit_Large_Commercial         | ACLC
RBA_Rate_Adjustment                            | RBA
Rights?.Of.Way                                 | RIGHT_OF_WAY
Sales_Tax                                      | SALES_TAX
Sales_Tax_Commodity                            | SALES_TAX_COMMODITY
Sales_Tax_Distribution                         | SALES_TAX_DISTRIBUTION
Service_Charge                                 | SERVICE_CHARGE
Subtotal									   | SUBTOTAL
Sustain(able)?_Energy_Trust_Fund               | SETF
South_Jersey_Energy_Charge                     | SOUTH_JERSEY_ENERGY
South_Jersey_Energy_Capacity_Adjustment        | SOUTH_JERSEY_ENERGY_CAPACITY_ADJUSTMENT
State_Adjustment_Tax                           | STATE_ADJUSTMENT_TAX
State_Regulatory_Fee                           | STATE_REGULATORY
State_Surcharge                                | STATE_SURCHARGE
San_Jose_Franchise_Surcharge                   | STATE_SURCHARGE
State_Tax                                      | STATE_TAX
STRIDE                                         | STRIDE
Balancing                                      | SUPPLY_BALANCING
^Supply(_Charges?)?                            | SUPPLY_CHARGE
Summer_Intermediate                            | SUPPLY_SUMMER_INTERMEDIATE
Summer_Intermediate_Increase                   | SUPPLY_SUMMER_INTERMEDIATE_RATE_INCREASE
Summer_Off_Peak                                | SUPPLY_SUMMER_OFF_PEAK
Summer_Off_Peak_Increase                       | SUPPLY_SUMMER_OFF_PEAK_RATE_INCREASE
Summer_Peak                                    | SUPPLY_SUMMER_PEAK
Summer_Peak_Rate_Increase                      | SUPPLY_SUMMER_PEAK_RATE_INCREASE
Swing_Volume                                   | SWING_VOLUME
System_Charge                                  | SYSTEM_CHARGE
Transportation_Charge_Adjustment               | TCA
Total_Charges$                                 | TOTAL_CHARGES
Total_(Electric_)?Delivery_Charges             | TOTAL_DELIVERY_CHARGES
Total_(Electric_)?Generation_Charges           | TOTAL_GENERATION_CHARGES
Total_(Electric_)?Supply_Charges               | TOTAL_SUPPLY_CHARGES
Total_(Electric_)?Transmission_Charges         | TOTAL_TRANSMISSION_CHARGES
Transmission(_Charges?)?$                      | TRANSMISSION
Minimum.*transmission                          | TRANSMISSION_ENERGY_MINIMUM_CHARGE
transmission.*minimum                          | TRANSMISSION_ENERGY_MINIMUM_CHARGE
Utility_Tax                                    | UTILITY_TAX
VA_Consumption_Tax                             | VA_CONSUMPTION_TAX
WG_Purchases                                   | WG_PURCHASES
Weather_Normalization_Charge                   | WNA_CHARGE
